frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
192,6.406,Torchere A,Medium-Flare,0.5608,moyenne,97,471,319,574,0.078,0.168,0.457,0.622
193,6.440,Torchere A,Medium-Flare,0.6130,moyenne,142,472,317,557,0.083,0.256,0.366,0.649
194,6.473,Torchere A,Medium-Flare,0.6659,moyenne,170,470,313,555,0.098,0.329,0.335,0.662
195,6.506,Torchere A,Medium-Flare,0.7624,moyenne,168,471,310,554,0.097,0.339,0.319,0.671
196,6.540,Torchere A,Medium-Flare,0.6518,moyenne,165,471,306,560,0.098,0.326,0.342,0.67
197,6.573,Torchere A,Medium-Flare,0.6323,moyenne,165,472,303,561,0.098,0.343,0.331,0.675
198,6.607,Torchere A,Medium-Flare,0.6182,moyenne,160,470,298,564,0.085,0.331,0.356,0.684
199,6.640,Torchere A,Medium-Flare,0.6742,moyenne,155,471,295,564,0.077,0.341,0.359,0.689
200,6.673,Torchere A,Medium-Flare,0.6514,moyenne,154,472,300,566,0.088,0.309,0.366,0.666
201,6.707,Torchere A,Medium-Flare,0.5725,moyenne,147,473,308,564,0.088,0.282,0.382,0.647
202,6.740,Torchere A,Medium-Flare,0.4905,moyenne,146,474,308,566,0.091,0.281,0.377,0.642
203,6.773,Torchere A,Medium-Flare,0.7096,moyenne,142,475,305,562,0.087,0.293,0.351,0.645
205,6.840,Torchere A,Medium-Flare,0.8265,moyenne,137,479,299,569,0.085,0.274,0.349,0.649
206,6.874,Torchere A,Medium-Flare,0.8105,moyenne,128,477,300,572,0.084,0.219,0.376,0.634
207,6.907,Torchere A,Medium-Flare,0.7896,moyenne,125,474,297,578,0.079,0.199,0.433,0.63
208,6.940,Torchere A,Medium-Flare,0.6987,moyenne,115,472,299,580,0.078,0.186,0.467,0.626
209,6.974,Torchere A,Medium-Flare,0.6603,mauvaise,108,472,298,571,0.067,0.203,0.441,0.636
209,6.974,Torchere A,Dark-Flare,0.5985,mauvaise,106,472,297,573,0.066,0.198,0.449,0.637
210,7.007,Torchere A,Medium-Flare,0.6987,mauvaise,100,470,299,566,0.062,0.189,0.421,0.642
210,7.007,Torchere A,Dark-Flare,0.6706,mauvaise,98,471,299,567,0.062,0.187,0.425,0.641
211,7.040,Torchere A,Dark-Flare,0.6320,mauvaise,108,469,298,567,0.062,0.207,0.403,0.65
211,7.040,Torchere A,Medium-Flare,0.6214,mauvaise,91,468,299,567,0.058,0.187,0.413,0.645
212,7.074,Torchere A,Medium-Flare,0.5690,moyenne,135,473,306,564,0.081,0.26,0.348,0.647
213,7.107,Torchere A,Medium-Flare,0.7649,moyenne,136,471,308,563,0.078,0.275,0.338,0.648
214,7.140,Torchere A,Medium-Flare,0.7800,moyenne,128,468,309,567,0.075,0.261,0.355,0.645
215,7.174,Torchere A,Medium-Flare,0.6161,moyenne,120,470,307,564,0.071,0.254,0.355,0.651
