epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,11814.6,0.94076,0.62179,1.25634,0.90919,0.88616,0.92864,0.66287,1.02512,0.50109,1.23039,0.0153094,0.00510314,0.0153094,0.00510314,0.0153094,0.00510314,0.0153094,0.00510314
101,11929.7,0.94241,0.61872,1.25653,0.90616,0.88359,0.92864,0.66633,1.01684,0.49913,1.22382,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025
102,12044.5,0.94215,0.61712,1.25601,0.89791,0.87884,0.92329,0.66403,1.01666,0.50369,1.2243,0.0148406,0.00494686,0.0148406,0.00494686,0.0148406,0.00494686,0.0148406,0.00494686
103,12160.3,0.93577,0.62096,1.25663,0.88772,0.89745,0.92803,0.66146,1.0296,0.50377,1.23517,0.0146062,0.00486873,0.0146062,0.00486873,0.0146062,0.00486873,0.0146062,0.00486873
104,12278.2,0.92967,0.6076,1.25396,0.89376,0.89831,0.92792,0.66514,1.02088,0.49971,1.22809,0.0143719,0.00479065,0.0143719,0.00479065,0.0143719,0.00479065,0.0143719,0.00479065
105,12394.6,0.92383,0.61078,1.25121,0.8947,0.90135,0.93571,0.66697,1.02767,0.50024,1.22795,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262
106,12511.8,0.92248,0.60088,1.24625,0.91482,0.88525,0.93715,0.66881,1.02502,0.49971,1.22837,0.013904,0.00463467,0.013904,0.00463467,0.013904,0.00463467,0.013904,0.00463467
107,12626.7,0.91187,0.59971,1.23872,0.91903,0.89096,0.93634,0.66911,1.01375,0.49689,1.22532,0.0136704,0.00455681,0.0136704,0.00455681,0.0136704,0.00455681,0.0136704,0.00455681
108,12742.2,0.92093,0.59733,1.24465,0.90179,0.89561,0.92945,0.66295,1.01311,0.50474,1.22408,0.0134372,0.00447907,0.0134372,0.00447907,0.0134372,0.00447907,0.0134372,0.00447907
109,12857.8,0.91227,0.58981,1.23686,0.88125,0.9049,0.92512,0.66116,1.00915,0.50118,1.22006,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147
110,12975.1,0.91795,0.5932,1.24265,0.88526,0.90006,0.92879,0.66701,1.00391,0.50313,1.2128,0.012972,0.00432402,0.012972,0.00432402,0.012972,0.00432402,0.012972,0.00432402
111,13092.3,0.91016,0.59667,1.2437,0.86963,0.90705,0.92955,0.67086,1.00579,0.49924,1.21742,0.0127402,0.00424674,0.0127402,0.00424674,0.0127402,0.00424674,0.0127402,0.00424674
112,13209.8,0.91045,0.59142,1.24473,0.89932,0.89455,0.93225,0.66549,1.01301,0.49966,1.2241,0.012509,0.00416965,0.012509,0.00416965,0.012509,0.00416965,0.012509,0.00416965
113,13325.1,0.91199,0.59544,1.23606,0.88708,0.91385,0.92825,0.66343,1.01493,0.49373,1.22747,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278
114,13440.3,0.90925,0.58561,1.23908,0.91635,0.8783,0.9337,0.66207,1.02278,0.49211,1.2329,0.0120484,0.00401613,0.0120484,0.00401613,0.0120484,0.00401613,0.0120484,0.00401613
115,13555.3,0.91329,0.58063,1.23534,0.91718,0.87747,0.93187,0.66766,1.02256,0.4972,1.23284,0.0118192,0.00393974,0.0118192,0.00393974,0.0118192,0.00393974,0.0118192,0.00393974
116,13671.7,0.90812,0.58718,1.23507,0.90287,0.88831,0.92944,0.66676,1.0185,0.49812,1.23061,0.0115908,0.00386361,0.0115908,0.00386361,0.0115908,0.00386361,0.0115908,0.00386361
117,13788.6,0.90947,0.58786,1.22998,0.91887,0.87985,0.92981,0.66981,1.0152,0.49634,1.22357,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777
118,13906.6,0.90571,0.58123,1.23132,0.92226,0.87343,0.9282,0.66747,1.01191,0.49309,1.2241,0.0111367,0.00371223,0.0111367,0.00371223,0.0111367,0.00371223,0.0111367,0.00371223
119,14024.1,0.89567,0.5828,1.22641,0.90546,0.88301,0.92721,0.67197,1.0063,0.49026,1.22513,0.0109111,0.00363702,0.0109111,0.00363702,0.0109111,0.00363702,0.0109111,0.00363702
120,14140.2,0.89767,0.57187,1.22304,0.89917,0.89297,0.93006,0.67312,1.00352,0.49044,1.22029,0.0106864,0.00356215,0.0106864,0.00356215,0.0106864,0.00356215,0.0106864,0.00356215
121,14256.6,0.89611,0.5777,1.21992,0.91022,0.88642,0.93182,0.67438,1.00375,0.49258,1.21735,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764
122,14374.4,0.88779,0.56914,1.21889,0.89813,0.89993,0.93004,0.67357,1.00397,0.49155,1.22078,0.0102405,0.00341351,0.0102405,0.00341351,0.0102405,0.00341351,0.0102405,0.00341351
123,14491.7,0.89207,0.57021,1.22622,0.90836,0.87487,0.93291,0.67682,1.00085,0.48582,1.2187,0.0100193,0.00333978,0.0100193,0.00333978,0.0100193,0.00333978,0.0100193,0.00333978
124,14608.7,0.88764,0.56584,1.22107,0.90469,0.88595,0.93177,0.67976,0.99805,0.48605,1.21486,0.00979939,0.00326646,0.00979939,0.00326646,0.00979939,0.00326646,0.00979939,0.00326646
125,14725.2,0.88457,0.56759,1.21691,0.89793,0.89112,0.93061,0.67481,0.99696,0.48518,1.21532,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358
126,14840.1,0.88343,0.56833,1.221,0.89362,0.88905,0.92807,0.67483,0.99474,0.48781,1.21228,0.00936345,0.00312115,0.00936345,0.00312115,0.00936345,0.00312115,0.00936345,0.00312115
127,14955.3,0.87297,0.56105,1.2153,0.89872,0.89354,0.93201,0.67515,0.99613,0.49055,1.21583,0.00914757,0.00304919,0.00914757,0.00304919,0.00914757,0.00304919,0.00914757,0.00304919
128,15072.3,0.87593,0.56309,1.21671,0.90455,0.88882,0.92728,0.6763,0.99516,0.48392,1.21678,0.00893315,0.00297772,0.00893315,0.00297772,0.00893315,0.00297772,0.00893315,0.00297772
