frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
110,3.670,Torchere C,Medium-Flare,0.4290,moyenne,67,67,90,100,0.014,0.084,0.835,0.638
110,3.670,Torchere A,Medium-Flare,0.7356,moyenne,374,86,422,121,0.0,0.268,0.674,0.696
111,3.704,Torchere C,Medium-Flare,0.4976,moyenne,67,68,88,100,0.013,0.085,0.798,0.651
111,3.704,Torchere A,Medium-Flare,0.7359,moyenne,379,88,423,121,0.0,0.309,0.627,0.706
111,3.704,Torchere B,Medium-Flare,0.5292,moyenne,666,127,690,167,0.0,0.031,0.876,0.6
112,3.737,Torchere C,Medium-Flare,0.4736,moyenne,65,65,88,99,0.01,0.075,0.816,0.651
112,3.737,Torchere A,Medium-Flare,0.7385,moyenne,379,88,421,121,0.0,0.307,0.615,0.712
112,3.737,Torchere B,Medium-Flare,0.5287,moyenne,666,129,690,166,0.0,0.027,0.839,0.609
113,3.770,Torchere C,Medium-Flare,0.4716,moyenne,64,65,90,101,0.012,0.069,0.834,0.639
113,3.770,Torchere A,Medium-Flare,0.7376,moyenne,376,88,421,122,0.0,0.273,0.66,0.695
113,3.770,Torchere B,Medium-Flare,0.4532,moyenne,666,126,690,170,0.0,0.053,0.848,0.606
114,3.804,Torchere C,Medium-Flare,0.4535,moyenne,64,65,89,101,0.012,0.071,0.821,0.644
114,3.804,Torchere A,Medium-Flare,0.7287,moyenne,377,89,422,122,0.0,0.276,0.629,0.7
114,3.804,Torchere B,Medium-Flare,0.4468,moyenne,664,125,692,166,0.0,0.058,0.848,0.607
115,3.837,Torchere C,Medium-Flare,0.5182,moyenne,62,60,90,100,0.008,0.061,0.868,0.636
115,3.837,Torchere A,Medium-Flare,0.7482,moyenne,378,86,421,123,0.0,0.203,0.679,0.684
115,3.837,Torchere B,Medium-Flare,0.4551,moyenne,668,125,691,164,0.0,0.059,0.793,0.626
116,3.871,Torchere A,Medium-Flare,0.7575,moyenne,376,85,422,123,0.0,0.175,0.73,0.67
117,3.904,Torchere C,Medium-Flare,0.4152,moyenne,68,66,88,101,0.016,0.104,0.789,0.654
117,3.904,Torchere A,Medium-Flare,0.7715,moyenne,378,86,421,122,0.0,0.189,0.716,0.676
117,3.904,Torchere B,Medium-Flare,0.4172,moyenne,669,126,690,164,0.0,0.133,0.764,0.634
118,3.937,Torchere C,Medium-Flare,0.4610,moyenne,66,66,88,100,0.009,0.114,0.781,0.66
118,3.937,Torchere A,Medium-Flare,0.7550,moyenne,382,89,420,122,0.0,0.226,0.694,0.7
118,3.937,Torchere B,Medium-Flare,0.4417,moyenne,669,126,690,165,0.0,0.128,0.748,0.639
119,3.971,Torchere C,Medium-Flare,0.5561,moyenne,65,67,90,101,0.009,0.095,0.799,0.648
119,3.971,Torchere A,Medium-Flare,0.7877,moyenne,388,90,421,122,0.0,0.283,0.62,0.721
119,3.971,Torchere B,Medium-Flare,0.6391,moyenne,667,130,691,164,0.0,0.132,0.723,0.641
120,4.004,Torchere C,Medium-Flare,0.5448,moyenne,65,66,90,100,0.007,0.096,0.794,0.652
120,4.004,Torchere A,Medium-Flare,0.7601,moyenne,387,90,419,122,0.0,0.313,0.582,0.729
120,4.004,Torchere B,Medium-Flare,0.6588,moyenne,666,125,693,167,0.0,0.079,0.8,0.624
121,4.037,Torchere C,Medium-Flare,0.5627,moyenne,62,62,90,100,0.008,0.067,0.852,0.639
121,4.037,Torchere A,Medium-Flare,0.7973,moyenne,386,90,418,121,0.0,0.337,0.6,0.725
